Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2019M11;18.339.394
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2019M10;30.363.238
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2019M09;37.572.668
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2019M08;47.059.511
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2019M07;43.199.530
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2019M06;37.163.185
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2019M05;31.905.788
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2019M04;26.808.982
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2019M03;21.520.914
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2019M02;16.589.486
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2019M01;15.506.154
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2018M12;16.655.848
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2018M11;18.261.076
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2018M10;31.132.356
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2018M09;37.768.667
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2018M08;46.306.240
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2018M07;42.717.096
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2018M06;36.168.465
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2018M05;31.921.157
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2018M04;25.207.350
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2018M03;21.918.931
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2018M02;16.527.859
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2018M01;15.395.882
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2017M12;16.211.799
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2017M11;17.537.436
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2017M10;30.898.617
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2017M09;37.961.599
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2017M08;46.657.187
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2017M07;43.624.461
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2017M06;36.646.402
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2017M05;31.439.920
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2017M04;27.549.426
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2017M03;20.508.641
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2017M02;16.346.534
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2017M01;15.200.690
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2016M12;16.013.165
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2016M11;17.134.705
