Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;PERIODO;VALOR
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2016M12;101,82
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2016M11;100,14
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2016M10;102,39
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2016M09;105,26
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2016M08;112,25
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2016M07;110,24
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2016M06;105,28
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2016M05;100,43
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2016M04;97,20
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2016M03;95,54
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2016M02;95,12
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2016M01;94,49
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2015M12;97,31
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2015M11;95,54
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2015M10;97,68
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2015M09;99,53
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2015M08;105,06
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2015M07;102,45
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2015M06;99,78
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2015M05;95,31
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2015M04;94,09
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2015M03;91,39
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2015M02;88,71
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2015M01;91,59
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2014M12;92,41
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2014M11;91,29
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2014M10;92,13
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2014M09;95,33
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2014M08;100,03
