comunidad_autonoma,periodo,duracion_media_viaje,gasto_medio_diario,gasto_medio_persona
Andalucia,2021-10-01,8.89,120.0,1064.0
Andalucia,2021-11-01,9.92,113.0,1117.0
Andalucia,2021-12-01,13.63,97.0,1326.0
Andalucia,2022-01-01,12.04,97.0,1164.0
Andalucia,2022-02-01,9.77,114.0,1114.0
Andalucia,2022-03-01,9.96,123.0,1230.0
Andalucia,2022-04-01,8.44,127.0,1074.0
Andalucia,2022-05-01,7.7,144.0,1105.0
Andalucia,2022-06-01,8.06,145.0,1167.0
Andalucia,2022-07-01,9.64,137.0,1323.0
Andalucia,2022-08-01,9.14,143.0,1306.0
Andalucia,2022-09-01,7.02,156.0,1098.0
Andalucia,2022-10-01,7.77,152.0,1181.0
Andalucia,2022-11-01,8.96,141.0,1266.0
Andalucia,2022-12-01,11.07,121.0,1336.0
Andalucia,2023-01-01,9.59,124.0,1188.0
Andalucia,2023-02-01,9.13,129.0,1180.0
Andalucia,2023-03-01,8.6,144.0,1235.0
Andalucia,2023-04-01,7.75,149.0,1152.0
Andalucia,2023-05-01,7.45,158.0,1180.0
Andalucia,2023-06-01,7.28,169.0,1232.0
Andalucia,2023-07-01,8.27,166.0,1371.0
Andalucia,2023-08-01,8.66,156.0,1347.0
Andalucia,2023-09-01,7.41,169.0,1250.0
Andalucia,2023-10-01,7.31,166.0,1212.0
Andalucia,2023-11-01,8.27,156.0,1287.0
Andalucia,2023-12-01,11.26,125.0,1412.0
Andalucia,2024-01-01,9.53,142.0,1351.0
Andalucia,2024-02-01,8.73,154.0,1342.0
Andalucia,2024-03-01,9.9,154.0,1520.0
Andalucia,2024-04-01,7.34,166.0,1218.0
Andalucia,2024-05-01,7.11,179.0,1274.0
Andalucia,2024-06-01,7.52,170.0,1280.0
Andalucia,2024-07-01,8.16,170.0,1388.0
Andalucia,2024-08-01,8.34,171.0,1427.0
Andalucia,2024-09-01,7.56,175.0,1322.0
Andalucia,2024-10-01,7.24,186.0,1350.0
Andalucia,2024-11-01,9.31,160.0,1492.0
Andalucia,2024-12-01,10.11,146.0,1476.0
Andalucia,2025-01-01,9.27,154.0,1427.0
"Balears, Illes",2015-10-01,8.12,116.0,940.0
"Balears, Illes",2015-11-01,10.06,104.0,1043.0
"Balears, Illes",2015-12-01,9.62,107.0,1029.0
"Balears, Illes",2016-01-01,8.71,108.0,943.0
"Balears, Illes",2016-02-01,7.9,131.0,1032.0
"Balears, Illes",2016-03-01,7.03,129.0,909.0
"Balears, Illes",2016-04-01,6.67,129.0,863.0
"Balears, Illes",2016-05-01,6.43,141.0,903.0
"Balears, Illes",2016-06-01,7.03,137.0,963.0
"Balears, Illes",2016-07-01,7.35,149.0,1098.0
"Balears, Illes",2016-08-01,7.9,138.0,1093.0
"Balears, Illes",2016-09-01,7.25,135.0,981.0
"Balears, Illes",2016-10-01,7.99,122.0,974.0
"Balears, Illes",2016-11-01,6.78,137.0,926.0
"Balears, Illes",2016-12-01,10.46,108.0,1126.0
"Balears, Illes",2017-01-01,8.36,114.0,956.0
"Balears, Illes",2017-02-01,6.97,130.0,906.0
"Balears, Illes",2017-03-01,6.61,138.0,913.0
"Balears, Illes",2017-04-01,6.58,138.0,909.0
"Balears, Illes",2017-05-01,6.35,148.0,942.0
"Balears, Illes",2017-06-01,7.01,145.0,1015.0
"Balears, Illes",2017-07-01,7.45,157.0,1171.0
"Balears, Illes",2017-08-01,8.18,144.0,1182.0
"Balears, Illes",2017-09-01,7.25,143.0,1035.0
"Balears, Illes",2017-10-01,8.09,131.0,1061.0
"Balears, Illes",2017-11-01,8.3,120.0,991.0
"Balears, Illes",2017-12-01,9.45,123.0,1164.0
"Balears, Illes",2018-01-01,8.36,113.0,947.0
