id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
654806384125262948,Romantic penthouse in stunning mountain village,465508002,Can Verdera,,Fornalutx,39.78226,2.74103,Private room,268,1,1,2023-08-19,0.06,3,300,0,B09954132
654806507744238837,Double room with street view,465508002,Can Verdera,,Fornalutx,39.78133,2.74089,Private room,113,1,30,2024-11-02,1.04,3,309,11,B09954132
654856835058500538,"Finca Son Cladera  / Apartamento ""Subac""",464164241,Juan,,Sa Pobla,39.79895904693374,3.009978082885092,Private room,413,1,7,2024-09-04,0.25,1,211,3,
654864773580371923,"Finca Son Cladera  / Apartamento ""Quadra""",465847781,Francisca,,Sa Pobla,39.79945404155198,3.0098523883749717,Private room,413,1,2,2024-05-03,0.10,8,175,1,
654940791793188754,Villa Gioia,3207615,Panchorentals . Es,,Llucmajor,39.41897,2.74655,Entire home/apt,395,1,13,2024-10-07,0.45,38,307,4,ETV / 5194
654970832142187621,Casa en Centro Histórico Pollença,432584184,Holidu,,Pollença,39.8794122,3.0132124,Entire home/apt,117,1,9,2024-12-02,0.36,69,358,2,ETV/3394
655494159907391005,Villa Balena with heated pool,432584184,Holidu,,Campos,39.3660837,2.9356776,Entire home/apt,229,1,12,2024-11-04,0.44,69,341,3,ETV/3252
655522579920038749,Oasis in portals by villasmediterranean,423926411,Jesus,,Calvià,39.53798,2.57743,Entire home/apt,500,6,0,,,7,349,0,ETV 15448
655530814316930627,Cas Padri Pep,80839530,Homerti,,Ariany,39.65184,3.11296,Entire home/apt,231,1,2,2024-08-29,0.45,803,160,2,ETV/10929
655550460972334466,Townhouse with patio and jacuzzi,228639797,Joan Felip,,Pollença,39.8796112,3.019164,Entire home/apt,250,6,8,2023-07-10,0.28,6,149,0,ETV/9808
655757646661086514,Sea Dreams Apartment Laveutu Healing Retreats,156040497,Lenka,,Alcúdia,39.83684,3.14839,Entire home/apt,350,3,25,2024-10-02,0.86,2,83,9,ETVPL/15720
656253825051257680,Villa Mediterranean: Moderno Refugio Familiar a Pa,29955329,Mallorca North Villas,,Muro,39.81209,3.11534,Entire home/apt,199,1,0,,,20,223,0,VT/101/762
656932259157834480,Double room with terrace,465508002,Can Verdera,,Fornalutx,39.78127,2.73915,Private room,134,1,6,2024-08-13,0.21,3,310,1,B09954132
657193244089990513,"Precioso apartamento en Cala D’Or, Islas Baleares",120584900,Chari,,Santanyí,39.37244,3.23194,Entire home/apt,,3,18,2023-10-01,0.62,1,0,0,
657696884434155281,Eco Villa Son Calor,446610574,Antoni,,Petra,39.62785465814619,3.0819488886936197,Entire home/apt,180,5,33,2024-10-18,1.13,1,292,17,ETV/7125
658333155805533961,Raixa,7619395,Isabel,,Lloseta,39.72152,2.871054,Entire home/apt,110,4,15,2024-08-01,0.54,2,255,3,I12E 10557
658355470610183437,Villa Valldemossa with pool,14215653,Daniel,,Valldemossa,39.71172,2.60776,Entire home/apt,,5,12,2024-09-19,0.42,29,0,7,ETV3864
658673441483916446,Apartamento entero delante de la playa,48386554,Esteban,,Palma de Mallorca,39.52658,2.73248,Entire home/apt,,89,0,,,5,0,0,
659122036089469944,NORTH BAY 2,250243520,Miguel,,Alcúdia,39.857264097575076,3.106221966270448,Entire home/apt,63,6,65,2024-11-22,2.23,2,161,31,ETVPL/14919
659313799248719420,Encantador Hotel Boutique con piscina,466560250,Borja,,Palma de Mallorca,39.5646584,2.6241283,Private room,258,1,2,2022-10-06,0.07,1,329,0,
659409358686989526,Siesta Sun- 2 bedroom apartment with communal pool,79726667,Teresa,,Alcúdia,39.83138588211659,3.1104250252246857,Entire home/apt,132,3,6,2023-08-26,0.21,2,178,0,
659428344728080150,Cheap room in the c/center 2,45336606,Miguel,,Palma de Mallorca,39.56852,2.6607,Private room,,1,14,2022-11-19,0.47,17,0,0,
