id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1131053449090142146,Piso nuevo a 10’ del centro,571399214,Jose Carlos,San Pablo - Santa Justa,"Carretera de Carmona, María Auxiliadora, Fontanal",37.398153094094,-5.979891121387482,Entire home/apt,300,3,0,,,1,87,0,VTF/SE/11813
1131103727396747031,Avenzoar Apartments Seville,304116789,Kasapartments,Macarena,"Doctor Barraquer, G. Renfe, Policlínico",37.4059148,-5.9919236,Entire home/apt,74,2,27,2024-12-09,3.27,32,260,27,VUT/SE/12837
1131124641490917943,Centro Histórico Sevilla,570419342,Juan,Casco Antiguo,Alfalfa,37.39171636500753,-5.997233586508175,Entire home/apt,161,2,23,2024-12-08,2.63,2,23,23,VUT/SE/12673
1131127086014933209,Habitación Centro de Sevilla,189203635,Juan Antonio,Casco Antiguo,San Vicente,37.396971,-5.998317,Private room,436,1,8,2024-05-29,0.93,4,269,8,Exempt
1131155361080537127,Triana auténtica 320,54863577,Emilia,Los Remedios,Los Remedios,37.37858298128541,-5.999612306595726,Entire home/apt,68,1,20,2024-12-02,2.29,2,28,20,SE/VF/2018
1131188823137756511,Habitación en zona Alameda,326732796,Yurma,Casco Antiguo,San Gil,37.400824322813335,-5.992150492966175,Private room,,1,5,2024-05-28,0.60,2,0,5,CTC-2024073922
1131225981862086278,Betis Suites-La Campana Verde,525995144,Andrés,Casco Antiguo,"Encarnación, Regina",37.3928084,-5.9948262,Entire home/apt,234,2,2,2024-10-29,0.65,3,363,2,VFT/SE/12143
1131616148048079053,"Habitación con llave, bonita y confortable.",299355771,Juan,Macarena,"Cruz Roja, Capuchinos",37.40018546786938,-5.9812000718512355,Private room,52,2,18,2024-11-24,2.06,7,172,18,Exempt
1131650712886403502,Tulip,56238877,Alberto,Casco Antiguo,Feria,37.39628430692599,-5.988524753154121,Entire home/apt,52,2,2,2024-05-11,0.24,21,5,2,VUT/SE/19024
1131708035911509919,TrianaSol 2,31774617,Juan Manuel,Triana,Triana Oeste,37.3841853181733,-6.005917585139014,Entire home/apt,118,1,0,,,5,220,0,VUT/SE/13697
1131714828269818017,TrianaSol 3,31774617,Juan Manuel,Triana,Triana Casco Antiguo,37.3850395,-6.004846,Entire home/apt,121,1,0,,,5,213,0,VFT/SE/11381
1131732726782778304,TrianaSol 4,31774617,Juan Manuel,Triana,Triana Casco Antiguo,37.38404905498061,-6.004637086307908,Entire home/apt,123,1,0,,,5,221,0,VFT/SE/11378
1131740593053273695,Alfareria-Sol,31774617,Juan Manuel,Triana,Triana Casco Antiguo,37.3846621,-6.004639699999999,Entire home/apt,115,1,1,2024-08-25,0.23,5,198,1,VUT/SE/12846
1131806883678181010,Great Power Sanctuary Suite,81121082,Ana,Casco Antiguo,San Lorenzo,37.3977713,-5.995667999999999,Entire home/apt,99,2,7,2024-11-24,0.85,1,86,7,VUT/SE/12934
1131861970255788207,Habitación privada en amplio apartamento Macarena,15230291,Juan Carlos,Macarena,"La Paz, Las Golondrinas",37.41206675837268,-5.987426958012488,Private room,,3,7,2024-06-02,0.85,1,0,7,VUT/SE/12879
1132396113031836952,Ático Triana con terraza,88508906,Fernando,Triana,Triana Este,37.37875,-6.00565,Entire home/apt,194,1,10,2024-11-09,1.15,33,87,10,vft/se/11828
1132396344542094910,Boteros - Wabi - Sevilla,225446428,Wabitrip Com,Casco Antiguo,Alfalfa,37.39043,-5.99094,Entire home/apt,,1,1,2024-07-15,0.18,1,0,1,VFT/SE/04540
1132399863068745659,Urban Elegance Close to the Bullring 2BR · 2BA,113546787,Fran Y Manuela,Casco Antiguo,Arenal,37.3871374,-5.9979709,Entire home/apt,160,1,12,2024-11-24,1.61,36,340,12,VFT/SE/02342
1132469075735526454,RentalSevilla La Salle 1A,170512874,Esther,Macarena,Pino Flores,37.40632340000001,-5.9736952,Entire home/apt,,1,2,2024-07-24,0.32,119,313,2,CTC 2024045794
