id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1027704756596896841,Céntrico en Puigcerda cerca lago,134567247,Jordi,,Puigcerdà,42.43442,1.92945,Entire home/apt,246,2,18,2024-12-27,1.39,1,175,16,HUTG-068534
1027824596834591796,Costa Brava Magnificence,8059086,Jess,,Cadaqués,42.28963,3.27843,Entire home/apt,100,31,1,2024-05-27,0.14,1,365,1,Exempt
1028020660481401752,Casa Requesens,547175822,Nina,,Castelló d'Empúries,42.24351106999144,3.1168146269836594,Entire home/apt,275,6,0,,,4,173,0,HUTG-017581
1028610215275062357,Appartement Citadel Strand en Centrum,529212293,Kaat,,Roses,42.2664142,3.1738672,Entire home/apt,204,1,12,2024-11-06,1.11,2,283,12,HUTG-074939
1028800389108306359,Alojamiento Rural Mas Can Font de Ciuret a Vidrà,267593426,Anna,,Vidrà,42.14409272648393,2.3344706469175414,Entire home/apt,180,2,4,2024-12-28,0.84,1,347,4,PCC-000199
1028868896502766450,Old Town duplex with character,18240880,Sleep & Stay,,Girona,41.985316,2.825154,Entire home/apt,180,2,40,2024-12-31,3.03,36,345,39,HUTG-027085
1028925161400892495,A solo 1 min de la playa!,184419087,Orlando Lazaro,,Lloret de Mar,41.6973837087569,2.834535352885723,Entire home/apt,175,3,6,2024-08-18,1.02,3,365,6,Exempt
1028932706882745457,Apartamento 2 dormitorios con piscina en Estartit,497860080,Quijote,,Torroella de Montgrí,42.05027,3.18946,Entire home/apt,,1,12,2024-09-01,1.29,8,178,12,HUTG-012180
1028959043808608745,Villa con piscina privada,547381769,Cris,,Lloret de Mar,41.7038,2.87397,Entire home/apt,,1,0,,,1,0,0,hutg-021403
1028976262757417671,Bonito piso vista canal piscina,231443950,Raquel,,Roses,42.26997862872745,3.138699945507808,Entire home/apt,107,1,0,,,65,361,0,HUTG-074187
1029017992905323211,Piso acogedor con piscina Roses,231443950,Raquel,,Roses,42.26709169999999,3.149929,Entire home/apt,75,1,1,2024-08-10,0.21,65,88,1,HUTG-054278
1029421536046540289,Experience the Costa Brava in a village house,28535392,Óscar,,L'Armentera,42.17104,3.07283,Entire home/apt,120,2,13,2024-12-09,1.41,1,337,13,HUTG-070770
1029458091263553924,134-Apartment with sea views in the center of Empu,148547858,Lola,,Castelló d'Empúries,42.24115,3.12573,Entire home/apt,68,1,3,2024-09-01,0.59,21,123,3,HUTG-123456
1029472043169253799,Apartamento 2 dormitorios con piscina en Estartit,497860080,Quijote,,Torroella de Montgrí,42.04935,3.18777,Entire home/apt,220,1,13,2024-09-07,1.43,8,178,13,HUTG-013363
1029491366228221249,Apartment Welcs EMP -107- with Terrace,420214931,Welcs,,Castelló d'Empúries,42.24809,3.12683,Entire home/apt,57,1,4,2024-08-19,0.79,103,356,4,Exempt
1029548869215711467,"Apartment Platja d'Aro, 2 bedrooms, 4 pers.",133059393,Agence Poplidays,,Castell-Platja d'Aro,41.81356,3.065794,Entire home/apt,92,1,0,,,67,364,0,HUTG-000000
1029586964680205025,Apartment with stunning views in Puigcerdà,151260158,Elisabet,,Puigcerdà,42.42942,1.92938,Entire home/apt,222,1,5,2024-06-09,0.39,36,297,4,HUTG-064007
1029664739656631032,"6 Bedroom Villa, Sea Views, Pool, Tamariu",105815786,Villas,,Palafrugell,41.92575,3.21562,Entire home/apt,400,1,0,,,4,363,0,HUTG-009044
1029718927705280424,Chaos Apartment,1917505,Jakub,,Lloret de Mar,41.72896,2.81674,Entire home/apt,220,5,13,2024-12-09,1.43,1,170,13,HUTG-017069
1029781713805423158,Mas Romaguera,547570649,Elena,,La Bisbal d'Emporda,41.9794648,3.0447882,Entire home/apt,550,7,0,,,1,263,0,HUTG-032973
1030205938069604927,Relax en el corazón de Platja d'Aro,165955093,Gemma,,Castell-Platja d'Aro,41.81877,3.06275,Entire home/apt,102,2,3,2024-06-24,0.25,1,57,2,HUTG-073733
1030243188679978097,Apartamento estilo marinero en Calella Palafrugell,219403644,Ivan,,Palafrugell,41.88453,3.17948,Entire home/apt,139,1,20,2024-10-20,1.57,1,238,18,9015-2489382/2023
1030266502208106549,Casa Natalio,544263779,Holidu,,Castell-Platja d'Aro,41.8227361677683,3.06922534722136,Entire home/apt,243,1,2,2024-06-24,0.26,20,362,2,HUTG-024953
1030453716110511377,Apartamento con vistas al mar,57249337,Dani,,Roses,42.26011,3.18569,Entire home/apt,150,5,5,2024-09-01,0.82,2,62,5,HUTG-029029
1030519419985366062,Apartamento con vistas Peralada,4883414,Azucena,,Peralada,42.31127,3.01053,Entire home/apt,90,2,6,2024-05-10,0.49,1,78,6,HUTG-048710
1030947296963377062,Apartamento historico río Onyar,462847122,Isabel,,Girona,41.9866646,2.824446,Entire home/apt,268,1,4,2024-03-23,0.31,2,319,1,HUTG-075170
1031016028852651624,"""Antic Correus"": precioso apartamento con jardín",235022591,Maria,,Breda,41.74645,2.5563,Entire home/apt,101,2,8,2024-10-13,1.28,2,91,8,HUTG-076081
1031028735479999962,*CostaCabana - Villa Roxy* Spacious garden,116201807,Marie,,Lloret de Mar,41.70497774689112,2.8212874644180452,Entire home/apt,,3,2,2024-08-18,0.26,50,0,2,HUTG-018557
1031114511009744693,Acogedor apartamento en playa.,544089300,Antonia,,Torroella de Montgrí,42.04202,3.19456,Entire home/apt,109,2,2,2024-08-21,0.41,1,355,2,HUTG-075418
1031192539953929701,NC Apartments - 1D Canyelles Mar - 4 PAX,354235559,NC Apartments,,Roses,42.2474083,3.197285,Entire home/apt,133,1,10,2024-10-26,1.09,13,163,10,HUTG-004905
1031249564433003340,Ca La Remei i Can Benet,202924755,Modest,,La Vall d'en Bas,42.10257,2.44814,Entire home/apt,160,2,0,,,2,244,0,PG-000914
1031790536624665054,Los Pinos 2-T,95415596,Ceigrup,,Torroella de Montgrí,42.05399,3.17609,Entire home/apt,82,1,1,2024-08-06,0.20,395,176,1,HUTG-023587
1031809324194259705,Montgris 2-9,95415596,Ceigrup,,Torroella de Montgrí,42.05198,3.19445,Entire home/apt,72,1,1,2024-08-12,0.21,395,218,1,HUTG-034696
1031824317784877780,Rocamaura I D 3-4,95415596,Ceigrup,,Torroella de Montgrí,42.05065,3.19737,Entire home/apt,95,1,0,,,395,185,0,HUTG-015698
1031899251392682072,El Niu de la Costa Brava,547977556,Eloy,,Calonge,41.84913053218864,3.1103528625655974,Entire home/apt,,7,1,2024-03-14,0.10,1,0,1,HUTG-075037
1031936878948339448,Apartment Welcs EMP -109- next to the canal,420214931,Welcs,,Castelló d'Empúries,42.24663,3.12751,Entire home/apt,,1,16,2024-09-28,1.73,103,1,16,Exempt
1032369302413538780,Appartement au centre de Rosas bord de mer,192052905,Dupuis,,Roses,42.2621103,3.1769185,Entire home/apt,80,2,1,2024-05-11,0.13,22,28,1,HUTG-069780
1032393095772445672,*CostaCabana - Villa Verger* plenty outdoor space!,116201807,Marie,,Vidreres,41.75767,2.82736,Entire home/apt,500,7,0,,,50,63,0,HUTG-029644
1032671499862365424,Ca La Remei i Can Benet,202924755,Modest,,La Vall d'en Bas,42.10252,2.44817,Entire home/apt,154,2,4,2024-05-20,0.33,2,152,4,PG-000915
1033167961946584315,Apartamento en una masia,435288216,Esteve,,Fontanals de Cerdanya,42.4023885652299,1.932336415344249,Entire home/apt,205,1,0,,,1,46,0,PG-000583
1033827222528291355,Apartamento Externo Standard,500425329,Hostal,,Palafrugell,41.9198236,3.2072749,Entire home/apt,150,1,7,2024-07-30,0.81,2,365,7,HG224681
1033841586075262628,Villa Valerie Torremirona Resort,133375298,Empordà Villas,,Navata,42.235,2.8643,Entire home/apt,160,3,2,2024-08-11,0.41,8,169,2,HUTG-071878
1033945923623676079,Nice apartments in the center of Palamos!,544686920,Oksana,,Palamós,41.84819658488884,3.1295837089419365,Entire home/apt,68,1,43,2024-12-15,3.51,2,168,42,HUTG-043833
1033982397803262176,Elisa: Cozy apartment with pool and sea views,497533696,Ideal,,L'Escala,42.12728,3.13104,Entire home/apt,121,1,5,2024-09-15,0.64,73,359,5,HUTG-025814
1033994933018610374,Villa Premium Vista al Mar,496340172,Sant Miquel,,Colera,42.40354,3.14722,Entire home/apt,,4,1,2024-07-23,0.18,2,213,1,Exempt
1034053749108082053,"Bravissimo Mercadal 2, one bedroom plus sofa bed",117763930,Bravissimo,,Girona,41.983627882,2.822616545,Entire home/apt,93,1,16,2024-12-26,1.67,89,314,16,HUTG-020357
1034073599489219635,"Bravissimo Mercadal 3, one-bedroom plus sofa bed",117763930,Bravissimo,,Girona,41.9836263,2.822647,Entire home/apt,93,1,16,2024-12-10,1.29,89,328,15,HUTG-020358
1034076629779361998,"Bravissimo Mercadal 4, duplex with 2 bedrooms",117763930,Bravissimo,,Girona,41.9836263,2.822647,Entire home/apt,112,1,5,2024-06-24,0.46,89,295,5,HUTG-020359
1034218758186883779,¡Enjoy the warmth and magic in the mountains!,37037070,Laura,,Camprodon,42.31116,2.3644,Entire home/apt,145,2,7,2024-12-08,0.57,1,267,6,HUTG-025866
1034572615779486061,"Can BufÍ, Amazing country house with indoor pool",364901060,Jordi,,Llagostera,41.80448,2.87681,Entire home/apt,1102,2,4,2024-10-06,0.51,1,244,4,HUTG-060847
1034655938048705910,Modern apartments with pool. Comtat St Jordi-24 M,304023307,Bertur,,Castell-Platja d'Aro,41.825871,3.080108,Entire home/apt,83,1,0,,,48,363,0,HUTG-002139
1034657640070500430,Modern apartments with pool. Comtat St Jordi-24 M,304023307,Bertur,,Castell-Platja d'Aro,41.825871,3.080108,Entire home/apt,80,1,0,,,48,363,0,HUTG-002139
1034657648615183040,Modern apartments with pool. Comtat St Jordi-24 M,304023307,Bertur,,Castell-Platja d'Aro,41.825871,3.080108,Entire home/apt,80,1,0,,,48,363,0,HUTG-002139
1034657665562343625,Modern apartments with pool. Comtat St Jordi-24 M,304023307,Bertur,,Castell-Platja d'Aro,41.825871,3.080108,Entire home/apt,80,1,0,,,48,363,0,HUTG-002139
1034657687076458845,Modern apartments with pool. Comtat St Jordi-24 P,304023307,Bertur,,Castell-Platja d'Aro,41.825871,3.080108,Entire home/apt,79,1,0,,,48,363,0,HUTG-002139
1034662080019052588,Modern apartments with pool. Comtat St Jordi-24 P,304023307,Bertur,,Castell-Platja d'Aro,41.825871,3.080108,Entire home/apt,76,1,0,,,48,363,0,HUTG-002139
1034662129803658347,Modern apartments with pool. Comtat St Jordi-24 P,304023307,Bertur,,Castell-Platja d'Aro,41.825871,3.080108,Entire home/apt,76,1,0,,,48,363,0,HUTG-002139
1034662172140193501,Comtat sant jordi 24 std,304023307,Bertur,,Castell-Platja d'Aro,41.825871,3.080108,Entire home/apt,73,1,0,,,48,363,0,HUTG-002139
1034662188541577993,Modern apartments with pool. Comtat St Jordi-24STD,304023307,Bertur,,Castell-Platja d'Aro,41.825871,3.080108,Entire home/apt,73,1,1,2024-09-22,0.29,48,363,1,HUTG-002139
