periodo,pais_residencia,gasto_medio_diario,gasto_medio_persona,duracion_media_viaje
2017-12-01,Reino Unido,116.0,1007.0,8.69
2017-12-01,Otros,161.0,1439.0,8.94
2018-01-01,Alemania,112.0,1078.0,9.6
2018-01-01,Francia,80.0,592.0,7.44
2018-01-01,Italia,107.0,699.0,6.54
2018-01-01,Paises Nordicos,149.0,1278.0,8.6
2018-01-01,Reino Unido,106.0,941.0,8.89
2018-01-01,Otros,165.0,1358.0,8.25
2018-02-01,Alemania,118.0,1014.0,8.61
2018-02-01,Francia,97.0,597.0,6.13
2018-02-01,Italia,110.0,735.0,6.7
2018-02-01,Paises Nordicos,141.0,1199.0,8.49
2018-02-01,Reino Unido,116.0,915.0,7.9
2018-02-01,Otros,179.0,1359.0,7.58
2018-03-01,Alemania,126.0,1040.0,8.25
2018-03-01,Francia,85.0,613.0,7.19
2018-03-01,Italia,109.0,728.0,6.68
2018-03-01,Paises Nordicos,137.0,1253.0,9.13
2018-03-01,Reino Unido,118.0,918.0,7.79
2018-03-01,Otros,193.0,1306.0,6.78
2018-04-01,Alemania,127.0,972.0,7.67
2018-04-01,Francia,92.0,562.0,6.11
2018-04-01,Italia,143.0,633.0,4.44
2018-04-01,Paises Nordicos,133.0,1194.0,8.97
2018-04-01,Reino Unido,122.0,847.0,6.93
2018-04-01,Otros,188.0,1233.0,6.55
2018-05-01,Alemania,139.0,978.0,7.03
2018-05-01,Francia,105.0,618.0,5.87
2018-05-01,Italia,132.0,655.0,4.98
2018-05-01,Paises Nordicos,138.0,1137.0,8.23
2018-05-01,Reino Unido,124.0,908.0,7.35
2018-05-01,Otros,192.0,1260.0,6.56
2018-06-01,Alemania,144.0,1006.0,6.99
2018-06-01,Francia,91.0,681.0,7.45
2018-06-01,Italia,130.0,720.0,5.55
2018-06-01,Paises Nordicos,148.0,1063.0,7.2
2018-06-01,Reino Unido,129.0,935.0,7.27
2018-06-01,Otros,186.0,1398.0,7.51
2018-07-01,Alemania,144.0,1096.0,7.6
2018-07-01,Francia,97.0,724.0,7.48
2018-07-01,Italia,137.0,897.0,6.57
2018-07-01,Paises Nordicos,137.0,1336.0,9.74
2018-07-01,Reino Unido,142.0,1078.0,7.59
2018-07-01,Otros,186.0,1415.0,7.61
2018-08-01,Alemania,139.0,1153.0,8.28
2018-08-01,Francia,90.0,726.0,8.05
2018-08-01,Italia,141.0,953.0,6.77
2018-08-01,Paises Nordicos,141.0,1289.0,9.13
2018-08-01,Reino Unido,134.0,1120.0,8.37
2018-08-01,Otros,172.0,1374.0,7.98
2018-09-01,Alemania,132.0,1056.0,8.0
2018-09-01,Francia,87.0,692.0,8.0
2018-09-01,Italia,116.0,800.0,6.9
2018-09-01,Paises Nordicos,162.0,1068.0,6.58
2018-09-01,Reino Unido,125.0,960.0,7.67
2018-09-01,Otros,192.0,1289.0,6.71
2018-10-01,Alemania,131.0,1035.0,7.89
2018-10-01,Francia,97.0,628.0,6.47
2018-10-01,Italia,126.0,745.0,5.93
2018-10-01,Paises Nordicos,142.0,1183.0,8.3
2018-10-01,Reino Unido,128.0,933.0,7.28
2018-10-01,Otros,196.0,1313.0,6.7
2018-11-01,Alemania,127.0,1081.0,8.52
2018-11-01,Francia,83.0,594.0,7.19
2018-11-01,Italia,127.0,683.0,5.39
2018-11-01,Paises Nordicos,149.0,1302.0,8.77
2018-11-01,Reino Unido,133.0,959.0,7.19
2018-11-01,Otros,203.0,1273.0,6.26
2018-12-01,Alemania,118.0,1083.0,9.15
2018-12-01,Francia,88.0,627.0,7.13
2018-12-01,Italia,131.0,680.0,5.21
2018-12-01,Paises Nordicos,143.0,1273.0,8.93
2018-12-01,Reino Unido,116.0,973.0,8.37
2018-12-01,Otros,163.0,1480.0,9.07
2019-01-01,Alemania,118.0,1064.0,9.01
2019-01-01,Francia,96.0,597.0,6.25
2019-01-01,Italia,118.0,743.0,6.28
2019-01-01,Paises Nordicos,143.0,1244.0,8.68
2019-01-01,Reino Unido,112.0,997.0,8.89
2019-01-01,Otros,168.0,1335.0,7.94
2019-02-01,Alemania,130.0,1030.0,7.89
2019-02-01,Francia,99.0,607.0,6.15
2019-02-01,Italia,107.0,700.0,6.54
2019-02-01,Paises Nordicos,157.0,1143.0,7.3
2019-02-01,Reino Unido,125.0,920.0,7.38
2019-02-01,Otros,183.0,1336.0,7.29
2019-03-01,Alemania,142.0,1018.0,7.16
2019-03-01,Francia,87.0,634.0,7.32
2019-03-01,Italia,137.0,732.0,5.33
2019-03-01,Paises Nordicos,146.0,1297.0,8.91
2019-03-01,Reino Unido,123.0,932.0,7.56
2019-03-01,Otros,194.0,1283.0,6.61
2019-04-01,Alemania,130.0,960.0,7.36
2019-04-01,Francia,103.0,587.0,5.68
2019-04-01,Italia,128.0,660.0,5.14
2019-04-01,Paises Nordicos,137.0,1247.0,9.13
2019-04-01,Reino Unido,133.0,877.0,6.6
2019-04-01,Otros,204.0,1209.0,5.92
2019-05-01,Alemania,143.0,951.0,6.66
2019-05-01,Francia,101.0,647.0,6.4
2019-05-01,Italia,134.0,643.0,4.81
2019-05-01,Paises Nordicos,149.0,1070.0,7.17
2019-05-01,Reino Unido,143.0,921.0,6.44
2019-05-01,Otros,214.0,1298.0,6.05
2019-06-01,Alemania,145.0,996.0,6.86
2019-06-01,Francia,113.0,688.0,6.07
2019-06-01,Italia,131.0,734.0,5.6
2019-06-01,Paises Nordicos,148.0,1122.0,7.56
2019-06-01,Reino Unido,136.0,944.0,6.94
2019-06-01,Otros,204.0,1367.0,6.69
2019-07-01,Alemania,143.0,1131.0,7.9
2019-07-01,Francia,102.0,751.0,7.37
2019-07-01,Italia,140.0,940.0,6.7
2019-07-01,Paises Nordicos,143.0,1328.0,9.26
2019-07-01,Reino Unido,149.0,1136.0,7.62
2019-07-01,Otros,200.0,1458.0,7.28
2019-08-01,Alemania,143.0,1148.0,8.01
2019-08-01,Francia,99.0,784.0,7.92
2019-08-01,Italia,137.0,952.0,6.93
2019-08-01,Paises Nordicos,150.0,1378.0,9.19
2019-08-01,Reino Unido,145.0,1155.0,7.99
2019-08-01,Otros,176.0,1375.0,7.8
2019-09-01,Alemania,147.0,1037.0,7.05
2019-09-01,Francia,89.0,718.0,8.03
2019-09-01,Italia,130.0,852.0,6.55
2019-09-01,Paises Nordicos,163.0,1070.0,6.57
2019-09-01,Reino Unido,136.0,965.0,7.08
2019-09-01,Otros,185.0,1308.0,7.09
2019-10-01,Alemania,138.0,1057.0,7.67
2019-10-01,Francia,99.0,639.0,6.46
2019-10-01,Italia,129.0,723.0,5.63
2019-10-01,Paises Nordicos,154.0,1138.0,7.4
2019-10-01,Reino Unido,132.0,961.0,7.26
2019-10-01,Otros,212.0,1352.0,6.38
2019-11-01,Alemania,134.0,1088.0,8.12
2019-11-01,Francia,97.0,601.0,6.18
2019-11-01,Italia,133.0,702.0,5.27
2019-11-01,Paises Nordicos,159.0,1328.0,8.38
2019-11-01,Reino Unido,135.0,936.0,6.96
2019-11-01,Otros,209.0,1308.0,6.25
2019-12-01,Alemania,121.0,1153.0,9.54
2019-12-01,Francia,90.0,635.0,7.05
2019-12-01,Italia,115.0,773.0,6.71
2019-12-01,Paises Nordicos,138.0,1319.0,9.55
2019-12-01,Reino Unido,129.0,983.0,7.63
2019-12-01,Otros,194.0,1443.0,7.45
2020-01-01,Alemania,122.0,1155.0,9.5
2020-01-01,Francia,92.0,618.0,6.69
2020-01-01,Italia,119.0,778.0,6.53
2020-01-01,Paises Nordicos,143.0,1277.0,8.91
2020-01-01,Reino Unido,121.0,1015.0,8.37
2020-01-01,Otros,177.0,1369.0,7.75
2020-02-01,Alemania,135.0,1092.0,8.06
2020-02-01,Francia,101.0,615.0,6.09
2020-02-01,Italia,130.0,775.0,5.98
2020-02-01,Paises Nordicos,153.0,1251.0,8.17
2020-02-01,Reino Unido,133.0,945.0,7.1
2020-02-01,Otros,184.0,1311.0,7.14
2020-03-01,Alemania,133.0,1049.0,7.91
2020-03-01,Francia,96.0,569.0,5.9
2020-03-01,Italia,131.0,736.0,5.63
2020-03-01,Paises Nordicos,145.0,1350.0,9.34
2020-03-01,Reino Unido,124.0,937.0,7.56
2020-03-01,Otros,201.0,1334.0,6.64
2020-04-01,Alemania,0.0,0.0,0.0
2020-04-01,Francia,0.0,0.0,0.0
2020-04-01,Italia,0.0,0.0,0.0
2020-04-01,Paises Nordicos,0.0,0.0,0.0
2020-04-01,Reino Unido,0.0,0.0,0.0
2020-04-01,Otros,0.0,0.0,0.0
2020-05-01,Alemania,0.0,0.0,0.0
2020-05-01,Francia,0.0,0.0,0.0
2020-05-01,Italia,0.0,0.0,0.0
2020-05-01,Paises Nordicos,0.0,0.0,0.0
2020-05-01,Reino Unido,0.0,0.0,0.0
2020-05-01,Otros,0.0,0.0,0.0
2020-06-01,Alemania,119.0,896.0,7.55
2020-06-01,Francia,83.0,451.0,5.45
2020-06-01,Italia,124.0,702.0,5.66
2020-06-01,Paises Nordicos,160.0,785.0,4.91
2020-06-01,Reino Unido,141.0,469.0,3.34
2020-06-01,Otros,118.0,737.0,6.27
2020-07-01,Alemania,119.0,1057.0,8.88
2020-07-01,Francia,88.0,628.0,7.11
2020-07-01,Italia,123.0,837.0,6.81
2020-07-01,Paises Nordicos,122.0,1280.0,10.48
2020-07-01,Reino Unido,126.0,991.0,7.86
2020-07-01,Otros,148.0,1214.0,8.19
2020-08-01,Alemania,129.0,1102.0,8.52
2020-08-01,Francia,88.0,734.0,8.36
2020-08-01,Italia,121.0,923.0,7.62
2020-08-01,Paises Nordicos,123.0,1351.0,10.98
2020-08-01,Reino Unido,108.0,1093.0,10.16
2020-08-01,Otros,145.0,1221.0,8.4
2020-09-01,Alemania,105.0,1022.0,9.71
2020-09-01,Francia,79.0,611.0,7.74
2020-09-01,Italia,102.0,757.0,7.46
2020-09-01,Paises Nordicos,120.0,1063.0,8.87
2020-09-01,Reino Unido,106.0,928.0,8.78
2020-09-01,Otros,136.0,999.0,7.35
2020-10-01,Alemania,92.0,1044.0,11.32
2020-10-01,Francia,80.0,506.0,6.36
2020-10-01,Italia,117.0,803.0,6.85
2020-10-01,Paises Nordicos,110.0,1122.0,10.24
2020-10-01,Reino Unido,95.0,1050.0,11.04
2020-10-01,Otros,145.0,1070.0,7.37
2020-11-01,Alemania,126.0,1135.0,9.04
2020-11-01,Francia,84.0,564.0,6.74
2020-11-01,Italia,131.0,733.0,5.61
2020-11-01,Paises Nordicos,118.0,1557.0,13.24
2020-11-01,Reino Unido,104.0,1118.0,10.7
2020-11-01,Otros,148.0,1140.0,7.7
2020-12-01,Alemania,121.0,1291.0,10.68
2020-12-01,Francia,76.0,556.0,7.27
2020-12-01,Italia,80.0,797.0,9.95
2020-12-01,Paises Nordicos,109.0,1561.0,14.38
2020-12-01,Reino Unido,102.0,1145.0,11.26
2020-12-01,Otros,129.0,1299.0,10.07
2021-01-01,Alemania,105.0,1148.0,10.98
2021-01-01,Francia,67.0,570.0,8.57
2021-01-01,Italia,109.0,814.0,7.49
2021-01-01,Paises Nordicos,126.0,1508.0,11.95
2021-01-01,Reino Unido,77.0,1165.0,15.13
2021-01-01,Otros,129.0,1260.0,9.8
2021-02-01,Alemania,105.0,1260.0,12.03
2021-02-01,Francia,96.0,690.0,7.17
2021-02-01,Italia,109.0,845.0,7.79
2021-02-01,Paises Nordicos,122.0,1565.0,12.8
2021-02-01,Reino Unido,72.0,1161.0,16.17
2021-02-01,Otros,143.0,1365.0,9.57
2021-03-01,Alemania,113.0,1124.0,9.95
2021-03-01,Francia,103.0,723.0,7.0
2021-03-01,Italia,121.0,751.0,6.19
2021-03-01,Paises Nordicos,128.0,1279.0,10.03
