comunidad_autonoma,tasa_media_ponderada,year
Ceuta ,-3.4618750280414847,2021
Melilla,-0.2505941356816452,2021
Andalucía,-7.227577639654147,2020
Aragón,0.28233854075763887,2020
"Asturias, Principado de",-1.541796827660774,2020
"Balears, Illes",-5.521941806336841,2020
Canarias,-0.3793153419966024,2020
Cantabria,-1.6022963541354251,2020
Castilla y León,-3.2538589681287204,2020
Castilla - La Mancha,-2.1915565098359973,2020
Cataluña,-11.745755709731737,2020
Comunitat Valenciana,-5.28207866521405,2020
Extremadura,-2.520598845247051,2020
Galicia,-5.047123739456025,2020
"Madrid, Comunidad de",-9.132171471533592,2020
"Murcia, Región de",-5.5448233363275685,2020
"Navarra, Comunidad Foral de",-5.988558028942274,2020
País Vasco,-12.847475730003222,2020
"Rioja, La",-4.313328368957084,2020
Ceuta ,-2.3814232070948953,2020
Melilla,0.12066017092893055,2020
Andalucía,1.510908848123873,2019
Aragón,1.8810375425481003,2019
"Asturias, Principado de",0.14436052312924177,2019
"Balears, Illes",3.2534086120961914,2019
Canarias,1.008565029561545,2019
Cantabria,2.704175765820635,2019
Castilla y León,0.933069374520254,2019
Castilla - La Mancha,2.1878337854496173,2019
Cataluña,3.4394786592544895,2019
Comunitat Valenciana,0.7064326355302543,2019
Extremadura,1.4290079575896433,2019
Galicia,2.1716952847842763,2019
"Madrid, Comunidad de",3.537642331158316,2019
"Murcia, Región de",0.8571249062632695,2019
"Navarra, Comunidad Foral de",3.176129172044005,2019
País Vasco,1.474304569229351,2019
"Rioja, La",1.9201719354376905,2019
Ceuta ,-1.08809580535324,2019
Melilla,1.4334870440009804,2019
Andalucía,1.4981089900497238,2018
Aragón,3.3290281117325975,2018
"Asturias, Principado de",1.1906484479554018,2018
"Balears, Illes",3.2309387976900457,2018
Canarias,1.6968199520291674,2018
Cantabria,2.008361962587782,2018
Castilla y León,1.4701263354661784,2018
Castilla - La Mancha,1.9676668298718796,2018
Cataluña,-0.8966958655365818,2018
Comunitat Valenciana,3.0969152424445414,2018
Extremadura,2.383479160307343,2018
Galicia,1.4665777444071952,2018
"Madrid, Comunidad de",1.6441970598194882,2018
"Murcia, Región de",1.6851938686370225,2018
"Navarra, Comunidad Foral de",1.2386422503006511,2018
País Vasco,5.706053509005895,2018
"Rioja, La",1.7363075197287892,2018
Ceuta ,2.7174041142199075,2018
Melilla,2.7291087185918155,2018
Andalucía,4.75414469729328,2017
Aragón,2.1321570012584377,2017
"Asturias, Principado de",3.6921082961666873,2017
"Balears, Illes",8.90549830714817,2017
Canarias,7.900524824494044,2017
Cantabria,4.693564916628811,2017
Castilla y León,3.0125228227575467,2017
Castilla-La Mancha,1.8674633462454675,2017
Cataluña,6.027184706007384,2017
Comunitat Valenciana,6.416402916488042,2017
Extremadura,1.1252571011245842,2017
Galicia,3.032736820126212,2017
"Madrid, Comunidad de",7.831779836835692,2017
"Murcia, Región de",4.130881916494886,2017
"Navarra, Comunidad Foral de",3.3374216851894585,2017
País Vasco,4.661957347388511,2017
La Rioja,-0.6547281509151262,2017
Ceuta,0.3237422107973901,2017
Melilla,-0.5498037616532248,2017
Andalucía,5.689032239019954,2016
Aragón,2.3128048833052284,2016
"Asturias, Principado de",5.333567069825168,2016
"Balears, Illes",7.2459796190218375,2016
Canarias,6.881566232007377,2016
Cantabria,2.9275912121634176,2016
Castilla y León,2.469899677586507,2016
Castilla-La Mancha,1.1995225964456266,2016
Cataluña,4.5736886595526585,2016
Comunitat Valenciana,6.613562954669922,2016
Extremadura,3.231311859260518,2016
Galicia,3.0321979570339463,2016
"Madrid, Comunidad de",3.526223787436019,2016
"Murcia, Región de",3.056285986131181,2016
"Navarra, Comunidad Foral de",1.62511222279782,2016
País Vasco,4.581372389977508,2016
La Rioja,2.4205217468013043,2016
Ceuta,-4.864712189165598,2016
Melilla,-0.4122351872056787,2016
Andalucía,4.9543551229448894,2015
Aragón,2.691815848641454,2015
"Asturias, Principado de",1.65561082117414,2015
"Balears, Illes",6.627346732946576,2015
Canarias,3.8790484908708547,2015
Cantabria,3.43479674190105,2015
Castilla y León,1.7880057260507134,2015
Castilla-La Mancha,1.518022340478124,2015
Cataluña,4.988155080434099,2015
Comunitat Valenciana,4.782517702378695,2015
Extremadura,2.447356834131929,2015
Galicia,2.9911301017857905,2015
"Madrid, Comunidad de",4.708053344635085,2015
"Murcia, Región de",2.5571842036604986,2015
"Navarra, Comunidad Foral de",0.8967156406116568,2015
País Vasco,3.2546006001618943,2015
La Rioja,2.5354777134479187,2015
Ceuta,-1.361602218377775,2015
Melilla,0.297972985490682,2015
Andalucía,2.2957756316898976,2014
Aragón,0.8883864987130226,2014
"Asturias, Principado de",-2.6075200966897274,2014
"Balears, Illes",2.2416227255316694,2014
Canarias,3.1339248028512636,2014
Cantabria,0.5883515593972035,2014
Castilla y León,0.06013676977197099,2014
Castilla-La Mancha,-1.3178700069691711,2014
Cataluña,0.5623677556596849,2014
Comunitat Valenciana,2.539958820940676,2014
Extremadura,-0.8433600197540011,2014
Galicia,-0.8773106744702722,2014
"Madrid, Comunidad de",-0.5999388416991301,2014
"Murcia, Región de",-0.03893044118593819,2014
"Navarra, Comunidad Foral de",-0.7588244576128789,2014
País Vasco,0.4376580003444373,2014
La Rioja,0.6709601917394445,2014
Ceuta,1.2548701719435051,2014
Melilla,2.6262929663972527,2014
Andalucía,-2.187531691132763,2013
Aragón,-2.5576499073543677,2013
"Asturias, Principado de",-1.7716287947899205,2013
"Balears, Illes",3.965265377928814,2013
Canarias,2.2898512157790067,2013
Cantabria,-4.047659356549588,2013
Castilla y León,-4.316388730420665,2013
Castilla-La Mancha,-4.92484140143146,2013
Cataluña,-0.4491473665689725,2013
Comunitat Valenciana,-2.0330445263941375,2013
Extremadura,-3.4545296760102375,2013
Galicia,-3.1132554779848736,2013
"Madrid, Comunidad de",-5.112173186192394,2013
"Murcia, Región de",-3.106403846963993,2013
"Navarra, Comunidad Foral de",-5.187289014165854,2013
País Vasco,0.255206636267122,2013
La Rioja,-2.948759466926637,2013
Ceuta,-4.589588578617735,2013
Melilla,0.7645051876891696,2013
Andalucía,-2.417550008048256,2012
Aragón,-5.967815005635391,2012
"Asturias, Principado de",-5.651505222181753,2012
"Balears, Illes",4.441933917454024,2012
Canarias,2.0263295505678265,2012
Cantabria,-2.7606570293445034,2012
Castilla y León,-3.986965380518576,2012
Castilla-La Mancha,-2.8676267990057416,2012
Cataluña,0.1455537110120612,2012
Comunitat Valenciana,-1.4580523936057297,2012
Extremadura,-4.92683466707352,2012
Galicia,-4.801483567514151,2012
"Madrid, Comunidad de",-3.8544351397650294,2012
"Murcia, Región de",-6.15159937666352,2012
"Navarra, Comunidad Foral de",-4.390858804831439,2012
País Vasco,-0.4565527138626224,2012
La Rioja,-3.887462605441556,2012
Ceuta,-3.087740166573653,2012
Melilla,-0.7989227994896535,2012
Andalucía,-1.696480611621527,2011
Aragón,-4.410728586997083,2011
"Asturias, Principado de",-1.7103380465525635,2011
"Balears, Illes",2.356144402744407,2011
Canarias,2.4809920760969306,2011
Cantabria,-1.5965506566318286,2011
Castilla y León,-2.011885095877863,2011
Castilla-La Mancha,-3.605502480145133,2011
Cataluña,1.2839342284204047,2011
Comunitat Valenciana,-0.5781105003709304,2011
Extremadura,-0.7247275973143048,2011
Galicia,-2.8934887895167094,2011
"Madrid, Comunidad de",-1.437177104899104,2011
"Murcia, Región de",-3.3596539870873787,2011
"Navarra, Comunidad Foral de",-0.930504853540524,2011
País Vasco,-0.4599044926554818,2011
La Rioja,-1.0029586840672298,2011
Ceuta,3.832438171717382,2011
Melilla,-1.531505209658696,2011
Andalucía,-1.9920380837405427,2010
Aragón,-3.5411199735287178,2010
"Asturias, Principado de",-2.8614290000484477,2010
"Balears, Illes",-1.18310157484123,2010
Canarias,-2.7100528677300084,2010
Cantabria,-0.8926621369738882,2010
Castilla y León,-2.1455206206656436,2010
Castilla-La Mancha,-2.5269302470477344,2010
Cataluña,0.1546111456194654,2010
Comunitat Valenciana,-1.8982001652309424,2010
Extremadura,-3.6831726935531,2010
Galicia,1.6290106079739184,2010
"Madrid, Comunidad de",-3.8113162823663784,2010
"Murcia, Región de",-5.786635001277384,2010
"Navarra, Comunidad Foral de",-1.6443679866727796,2010
País Vasco,-1.6126380046446096,2010
La Rioja,-2.6419368498979146,2010
Ceuta,1.920911356338513,2010
Melilla,-6.181995218653637,2010
